,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Code,COL,Role
1472,Director of Data and Audience Intelligence ,52280.00,Yes,Joint licensee,Community/independent nonprofit,Hartford,Connecticut,No,1,6,6,27,Female,Black or African American,No,CT,104.8,Data Journalist
1473,Associate Producer/Project Manager,52000.00,No,TV station,College/university,Madison,Wisconsin,No,10,10,35,61,Female,White,No,WI,99.5,Producer
1474,Membership Manager,52000.00,No,Radio station,Community/independent nonprofit,Baton Rouge,Louisiana,No,3,3,22,48,Female,White,Yes,LA,91.1,Manager
1475,Chief Engineer,52000.00,Yes,TV station,Community/independent nonprofit,Tulsa,Oklahoma,No,2,2,15,57,Male,White,Yes,OK,86.7,Engineer
1476,Reporter,52000.00,Yes,Radio station,Community/independent nonprofit,Concord,New Hampshire,No,3,3,11,30,Female,White,Yes,NH,108.3,Reporter
1477,Morning News Host and Reporter,52000.00,Yes,Joint licensee,,Anchorage,Alaska,No,2.5,2.5,8,28,Female,White,Yes,AK,110.7,Reporter
1478,News Director,52000.00,,Radio station,Community/independent nonprofit,Unalaska,Alaska,No,0.5,2,8,28,Female,White,No,AK,,Director
1479,Director of Corporate Support,52000.00,No,Radio station,College/university,Rock Island,Illinois,No,5,6,6,43,Female,White,No,IL,,Director
1480,General Manager,52000.00,No,Radio station,Community/independent nonprofit,Kenai,Alaska,No,4,6,6,41,Female,White,Yes,AK,,Manager
1481,General Manager,52000.00,No,Radio station,School board,Paonia,Colorado,No,1,4,5,44,Female,White,No,CO,,Manager
1482,Membership Manager,52000.00,No,Radio station,School board,Elkhart,Indiana,No,5,5,5,59,Male,White,No,IN,88.5,Manager
1483,Reporter,52000.00,No,Radio station,College/university,Boise,Idaho,No,3,3,5,34,Male,White,Yes,ID,,Reporter
1484,Marketing Manager,52000.00,Yes,Joint licensee,Community/independent nonprofit,Toledo,Ohio,No,3,3,3,37,Female,White,No,OH,87.5,Marketing
1485,Senior Field Correspondent,52000.00,Yes,Radio station,College/university,Phoenix,Arizona,No,1,1,3,26,Female,Hispanic/Latino,Yes,AZ,104.3,Reporter
1486,Major Gifts Officer,52000.00,Yes,Joint licensee,College/university,Tallahassee,Florida,No,2,2,2,48,Female,Black or African American,No,FL,96.4,Executive Officer
1487,Health and Science Reporter,51500.00,Yes,Radio station,Community/independent nonprofit,Pittsburgh,Pennsylvania,No,3.5,3.5,11,33,Female,White,No,PA,93.1,Reporter
