,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Code,COL,Role
199,Design Manager,77000.00,No,TV station,College/university,Madison,Wisconsin,No,2,20,22,53,Male,Other,No,WI,99.5,Manager
200,Creative Services Manager,77000.00,No,Joint licensee,Community/independent nonprofit,Cleveland,Ohio,No,1,13,13,41,Male,White,No,OH,90,Manager
201,Associate Director of Development,77000.00,No,Radio station,Community/independent nonprofit,Tacoma,Washington,Yes,3,9.5,9.5,38,Female,White,No,WA,,Director
202,"Managing Director, Corporate Giving and Events ",77000.00,No,Joint licensee,College/university,nan,,,3,6,6,34,Male,White,No,,,Director
203,Production Resource Manager,76500.00,Yes,Joint licensee,Community/independent nonprofit,Portland,Oregon,No,8,8,8,45,Female,Asian,No,OR,116.5,Manager
204,Director of Human Resources,76500.00,No,National network/organization ,,Columbia,South Carolina,No,20,2,17,60,Female,White,No,SC,91.9,HR
205,Producer/Reporter/ Host,76400.00,Yes,Radio station,Community/independent nonprofit,Denver,Colorado,No,2,2,6,28,Female,American Indian or Alaska Native,No,CO,112.1,Reporter
206,Radio Operations Director,76360.00,No,Joint licensee,Community/independent nonprofit,Portland,Maine,No,6,12,12,51,Male,White,Yes,ME,113,Director
207,Director of Development,76344.00,No,Joint licensee,State,multiple,West Virginia,No,22,33,33,66,Female,White,No,WV,,Director
208,Associate Director,76321.00,No,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,No,8,9,9,33,Female,White,No,MA,132.6,Director
209,Production Manager ,76000.00,No,Joint licensee,College/university,Fort Myers,Florida,No,29,29,36,60,Female,White,No,FL,101.5,Manager
210,News Director ,76000.00,No,Radio station,College/university,Fairfield,Connecticut,No,3,5,17,60,Male,White,No,CT,,Director
211,Director of News and Partnerships,76000.00,No,Joint licensee,State,Atlanta,Georgia,No,3,14,16,59,Female,White,No,GA,100.3,Director
212,Grants Manager,76000.00,Yes,Radio station,Community/independent nonprofit,San Francisco,California,No,4,4,4,33,Female,White,No,CA,178.6,Manager
213,Director of Content,75000.00,No,TV station,State,Boise,Idaho,No,8,23,28,55,Male,White,No,ID,,Director
214,"Manager, Radio Operations",75000.00,No,Radio station,Community/independent nonprofit,Dallas,Texas,No,2,2,15,33,Male,White,No,TX,98.5,Manager
215,Digital News Editor,75000.00,No,Radio station,College/university,Austin,Texas,No,4,4,13,48,Female,White,No,TX,106.6,Editor
216,Grants Manager,75000.00,No,Radio station,College/university,nan,Florida,No,12,12,12,,Female,White,No,FL,,Manager
217,Reporter,75000.00,No,Joint licensee,Community/independent nonprofit,Dallas,Texas,No,1,5.5,12,36,Male,White,Yes,TX,98.5,Reporter
218,Assistant Station Manager,75000.00,No,Radio station,College/university,Reno,Nevada,No,2,10,10,36,Male,White,Yes,NV,107.4,Manager
219,Major Gifts Officer,75000.00,Yes,Radio station,College/university,Seattle,Washington,No,1,5,10,34,Female,White,Yes,WA,124.6,Executive Officer
220,"Account Manager, Corporate Sponsorships ",75000.00,Yes,Joint licensee,Community/independent nonprofit,Dallas,Texas,No,6,6,6,,Female,White,No,TX,98.5,Manager
221,Graphics Reporter,75000.00,Yes,National network/organization ,,New York,New York,Yes,1.5,1.5,5.5,31,Female,Asian,No,NY,128,Designer
222,Senior Account Executive/Corporate Support (Underwriting),75000.00,No,TV station,State,nan,Maryland,Yes,5,5,5,41,Female,White,No,MD,,Accountant
223,Human Resources Generalist,75000.00,No,National network/organization ,,Arlington,Virginia,No,4,4,4,26,Non-binary / third gender,White,,VA,,HR
224,Director of Major and Planned Giving,75000.00,Yes,Radio station,Community/independent nonprofit,Tacoma,Washington,No,3,3,3,35,Female,White,Yes,WA,,Director
225,Digital Producer,75500.00,Yes,National network/organization ,,Los Angeles,California,No,2,6,7,29,Male,White,Yes,CA,140.6,Producer
226,Reporter,75000.00,No,Radio station,College/university,nan,California,Yes,,,,,Female,Biracial/Multiracial,No,CA,,Reporter
227,Manager,75000.00,Yes,National network/organization ,,Arlington,Virginia,No,,,,,,Asian,No,VA,,Manager
228,Membership Director,75000.00,Yes,Joint licensee,College/university,Columbus,Ohio,No,11,26,26,56,Male,White,No,OH,93.9,Director
229,Assistant Program Director,75000.00,No,Radio station,College/university,Sacramento,California,No,13,13,21,40,Male,White,Yes,CA,120.3,Director
230,Capitol Bureau Chief,75000.00,No,Radio station,College/university,Raleigh,North Carolina,No,5,9.5,17.5,37,Male,White,Yes,NC,99.7,Editor
231,Senior Producer,75000.00,No,Radio station,College/university,Seattle,Washington,Yes,3,15,17,39,Male,White,No,WA,124.6,Producer
232,Director,75000.00,Yes,TV station,Community/independent nonprofit,nan,Illinois,No,2,13,13,59,Female,White,No,IL,,Director
233,Producer,75000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,No,2,6,12,30,Female,White,No,DC,,Producer
234,Host,75000.00,Yes,Radio station,Community/independent nonprofit,Concord,New Hampshire,No,5,10,11,35,Male,White,Yes,NH,108.3,Host
235,Assistant News Director,75000.00,No,Radio station,Community/independent nonprofit,nan,,No,2,2,10,,Female,White,No,,,Director
236,Producer,75000.00,No,Radio station,College/university,Boston,Massachusetts,Yes,5,5,10,33,Female,White,No,MA,132.6,Producer
237,Reporter/Host,75000.00,Yes,Radio station,Community/independent nonprofit,Denver,Colorado,No,4,4,8,30,Non-binary / third gender,Other,No,CO,112.1,Reporter
238,Senior Rights Manager,75000.00,Yes,National network/organization ,,Boston,Massachusetts,No,5,8,8,54,Female,Black or African American,No,MA,132.6,Manager
239,Digital Producer,75000.00,Yes,TV station,,New York,New York,No,2,5,7,39,Female,White,No,NY,128,Producer
240,Reporter,75000.00,Yes,Radio station,College/university,"Washington, D.C.",District of Columbia,Yes,5,7,7,35,Female,White,Yes,DC,,Reporter
241,Project Finance Analyst,75000.00,Yes,TV station,Community/independent nonprofit,Boston,Massachusetts,No,5,5,5,45,Female,Hispanic/Latino,No,MA,132.6,
242,Producer,75000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,2,2,4,29,Female,White,No,DC,,Producer
243,Senior Audience Engagement Specialist,75000.00,Yes,Joint licensee,Community/independent nonprofit,New York,New York,No,1,4,4,29,Female,White,No,NY,128,Specialist
244,General Manager/Program Director,75000.00,No,Radio station,Community/independent nonprofit,Denver,Colorado,No,1,2,2,46,Female,Black or African American,No,CO,112.1,Manager
245,Production Manager ,74160.00,Yes,Radio station,College/university,Sacramento,California,No,1,41,44,63,Male,White,No,CA,120.3,Manager
246,"Finance, Senior Accounts Administrator",74000.00,,Radio station,College/university,Boston,Massachusetts,Yes,20,26,20,52,Female,White,No,MA,132.6,Executive Officer
247,"Senior Producer and Manager, Multiplatform Productions and Strategy",74000.00,Yes,TV station,State,Owings Mills,Maryland,No,2,5,16,39,Female,White,Yes,MD,,Producer
248,Assistant News Director,74900.00,,Radio station,College/university,"I work in Milwaukee bureau, but org is headquartered in Madison",Wisconsin,No,5,5,11,41,Female,White,No,WI,,Director
249,"On-Air Fundraising Producer, Radio and TV",74000.00,Yes,TV station,Community/independent nonprofit,Springfield,Massachusetts,Yes,2,30,30,59,Male,White,No,MA,106.5,Producer
250,Digital Editor/Podcast Host,74000.00,,Radio station,College/university,"Washington, D.C.",District of Columbia,Yes,1.5,6,7,30,Female,Asian,Yes,DC,,Host
251,"Senior Foundation Specialist, Major and Planned Giving",74000.00,No,Radio station,College/university,Milwaukee,Wisconsin,No,3,3,3,65,Female,White,No,WI,93.8,Specialist
252,Grants and Proposals Manager,74000.00,Yes,Joint licensee,Community/independent nonprofit,Hartford,Connecticut,No,1,1,1,51,Female,White,No,CT,104.8,Manager
253,Membership Database Manager,73000.00,No,Radio station,Community/independent nonprofit,New York,New York,No,20,15,23,,Male,White,No,NY,128,Data Journalist
254,Coordinating Producer,73000.00,Yes,Joint licensee,College/university,New York,New York,No,6,14,17,43,Female,Asian,No,NY,128,Producer
255,Director,73000.00,Yes,Joint licensee,College/university,Gainesville,Florida,No,5,5,5,35,Female,Other,No,FL,97.3,Director
256,Reporter II,73000.00,No,Radio station,College/university,Pasadena,California,Yes,1.5,1.5,6,29,Female,Biracial/Multiracial,No,CA,,Reporter
257,Communications Manager,73000.00,Yes,National network/organization ,,Boston,Massachusetts,No,6,22,22,46,Female,,No,MA,132.6,Manager
258,Assignment Editor,73000.00,No,Radio station,College/university,Ann Arbor,Michigan,No,1,10,12,36,Female,White,Yes,MI,99.3,Editor
259,Audience Editor,73000.00,Yes,Radio station,Community/independent nonprofit,Denver,Colorado,No,1,5,10,42,Male,White,No,CO,112.1,Editor
260,Newscaster/News Anchor,73000.00,Yes,Radio station,College/university,Seattle,Washington,Yes,5,5,10,33,Female,White,No,WA,124.6,Reporter
261,Event Strategy Manager,73000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,4,4,5,29,Female,White,Yes,DC,,Manager
262,Data Journalist,73000.00,Yes,Radio station,State,Saint Paul,Minnesota,Yes,1,1,2,34,Male,White,No,MN,,Data Journalist
263,Broadcast Coordinator ,72000.00,No,National network/organization ,,Saint Paul,Minnesota,No,20,30,30,60,Male,White,No,MN,,Manager
264,Human Resource Manager,72000.00,No,Joint licensee,Community/independent nonprofit,Toledo,Ohio,No,20,20,20,44,Female,White,No,OH,87.5,Manager
265,Major Gifts Officer,72000.00,Yes,Joint licensee,College/university,Madison,Wisconsin,No,7,7,15,42,Female,White,No,WI,99.5,Executive Officer
266,Radio Program Director/Host,72000.00,No,Joint licensee,College/university,East Lansing,Michigan,Yes,2,6,14,41,Male,White,No,MI,,Host
267,Radio Program Director,72000.00,No,Joint licensee,Community/independent nonprofit,Denver,Colorado,No,4,9,13,62,Male,Black or African American,No,CO,112.1,Director
268,Producer,72000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,Yes,1,1,3,39,Female,Hispanic/Latino,No,DC,,Producer
269,Multimedia Producer,72600.00,Yes,TV station,,New York,New York,No,3,3,3,30,Male,White,No,NY,128,Producer
270,Producer,72500.00,,Joint licensee,Community/independent nonprofit,Arlington,Virginia,No,2,2,10,36,Female,White,No,VA,,Producer
271,"Director, Legacy Giving",72300.00,No,Radio station,Community/independent nonprofit,Centennial,Colorado,No,5,16,16,62,Female,White,No,CO,,Director
272,Director Major Gifts,72000.00,No,Joint licensee,School board,Cleveland,Ohio,No,2.5,17,17,63,Female,Asian,No,OH,90,Director
273,Corporate Support Manager,72000.00,,Joint licensee,College/university,Fairbanks,Alaska,No,14,14,14,57,Female,White,No,AK,107.9,Manager
274,Reporter,72000.00,Yes,National network/organization ,,Saint Paul,Minnesota,No,1,2,9,30,Female,White,No,MN,,Reporter
275,Director of Human Resources,72000.00,No,Joint licensee,Community/independent nonprofit,Indianapolis,Indiana,No,3,3,3,43,Male,White,Yes,IN,90.2,HR
276,Director of Marketing and Communications,72000.00,No,Radio station,Community/independent nonprofit,Honolulu,Hawaii,No,2,2,2,43,Female,White,No,HI,158,Marketing
277,Radio Program Manager,71000.00,No,Radio station,Community/independent nonprofit,Toledo,Ohio,No,10,12,18,57,Male,White,No,OH,87.5,Manager
278,General Manager,71750.00,No,Radio station,Community/independent nonprofit,Petersburg,Alaska,No,24,31,32,57,Male,White,Yes,AK,,Manager
279,Production Engineer Mixer,71500.00,Yes,Radio station,College/university,Los Angeles,California,Yes,20,28,30,65,Male,White,No,CA,140.6,Engineer
280,Senior Producer,71500.00,No,TV station,College/university,East Lansing,Michigan,Yes,1.5,4.5,4.5,47,Male,White,No,MI,,Producer
281,Executive Producer,71200.00,No,Radio station,College/university,St. Louis,Missouri,No,2,8,14,34,Male,White,No,MO,89.6,Producer
282,Reporter,71000.00,Yes,Radio station,Community/independent nonprofit,Los Angeles,California,Yes,4,10,12,32,Male,White,Yes,CA,140.6,Reporter
283,Media Project Manager/Production Manager,71000.00,Yes,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,6,6,6,28,Female,White,No,MN,,Manager
284,Business Manager,71000.00,Yes,TV station,,Boston,Massachusetts,No,0,4,4,49,Female,Asian,No,MA,132.6,Manager
285,Account Manager,71000.00,No,Radio station,Community/independent nonprofit,Denver,Colorado,No,1.5,1.5,1.5,33,Female,White,No,CO,112.1,Manager
286,"Chief Broadcast Engineer, Director of Engineering",70300.00,Yes,Radio station,State,Boise,Idaho,No,,5,5,40,Male,White,No,ID,,Engineer
287,Human Resources Generalist,70040.00,No,Radio station,Community/independent nonprofit,Denver,Colorado,No,8,15,15,49,Female,White,No,CO,112.1,HR
288,"Manager, Content Production",70000.00,Yes,Joint licensee,College/university,Houston,Texas,No,5,20,28,50,Male,White,No,TX,95.8,Manager
289,Membership Operations and Vehicle Donation Program Manager,70000.00,Yes,Joint licensee,College/university,San Diego,California,No,15,1974,28,46,Female,Asian,Yes,CA,136.2,Manager
290,Producer/Host,70000.00,No,Radio station,Community/independent nonprofit,Boston,Massachusetts,Yes,20,20,27,65,Male,White,No,MA,132.6,Host
291,Station Operations Director,70000.00,No,TV station,College/university,Bloomington,Indiana,No,6,24,24,47,Male,White,No,IN,92.4,Director
292,All Things Considered Host,70000.00,Yes,Joint licensee,Community/independent nonprofit,nan,Ohio,No,7,7,16,,Prefer not to say,,,OH,,Host
293,Senior Graphic Design,70000.00,Yes,TV station,Community/independent nonprofit,Saint Paul,Minnesota,Yes,14,14,14,38,Male,White,Yes,MN,,Designer
294,Underwriting Representative,70000.00,No,Radio station,Community/independent nonprofit,Baton Rouge,Louisiana,No,2.5,10.5,10.5,39,Female,White,No,LA,91.1,
295,Development Director,70000.00,No,Radio station,School board,Elkhart,Indiana,No,1,8,8,69,Male,White,Yes,IN,88.5,Director
296,Videographer,70000.00,Yes,Radio station,Community/independent nonprofit,Denver,Colorado,No,20,7,7,48,Male,Black or African American,Yes,CO,112.1,Video Journalist
297,Station Manager/Program Director,70000.00,No,Radio station,College/university,Omaha,Nebraska,No,1.5,1.5,1.5,58,Female,White,Yes,NE,92.9,Manager
298,Data Reporter,70000.00,No,National network/organization ,,Emeryville,California,No,0,0,1,24,Male,Black or African American,No,CA,,Data Journalist
299,All Things Considered Host,70900.00,Yes,Radio station,Community/independent nonprofit,Seattle,Washington,Yes,6,8,12,39,Male,White,No,WA,124.6,Host
300,Reporter/Producer,70761.00,,Joint licensee,Community/independent nonprofit,Portland,Oregon,No,3,3,3,,Male,White,No,OR,116.5,Reporter
301,Director/Executive Producer,70570.00,Yes,Joint licensee,Community/independent nonprofit,Colchester,Vermont,No,0.5,7,13,33,Female,White,No,VT,,Producer
302,"Director, Science Matters",70000.00,No,Joint licensee,,Richmond,Virginia,No,10,10,10,63,Female,White,No,VA,99.2,Director
303,"Manager, Membership",70000.00,Yes,TV station,Community/independent nonprofit,"Washington, D.C.",District of Columbia,No,38,38,38,58,Female,American Indian or Alaska Native,No,DC,,Manager
304,Director of Member Services,70000.00,Yes,Joint licensee,State,Bangor,Maine,No,4,18,18,51,Male,White,No,ME,98,Director
305,Development Manager,70000.00,Yes,Joint licensee,College/university,San Diego,California,No,5,10,16,36,Female,White,No,CA,136.2,Manager
306,Digital Director,70000.00,No,Radio station,School board,Milwaukee,Wisconsin,No,5,14,14,47,Male,Black or African American,No,WI,93.8,Director
307,Creative Manager,70000.00,No,TV station,College/university,Madison,Wisconsin,No,1,8,8,37,Male,White,No,WI,99.5,Manager
308,Education Outreach Manager,70000.00,Yes,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,5,8,8,38,Non-binary / third gender,White,No,MN,,Manager
309,Assistant Chief Engineer,70000.00,Yes,TV station,Community/independent nonprofit,Sacramento,California,No,9,6,6,35,Male,White,No,CA,120.3,Engineer
310,Senior Producer,70000.00,No,Radio station,Community/independent nonprofit,Hartford,Connecticut,No,5.4,5.4,5.4,46,Female,White,No,CT,104.8,Producer
311,Communications Manager,70000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,2,4,4,33,Female,White,No,DC,,Manager
312,News Director,70000.00,No,Joint licensee,College/university,Fort Myers,Florida,No,3,4,4,49,Female,White,Yes,FL,101.5,Director
313,Producer,70000.00,No,Radio station,College/university,"Washington, D.C.",District of Columbia,Yes,4,4,4,27,Female,White,Yes,DC,,Producer
314,Senior Business Development Manager,70000.00,Yes,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,3,3,4,40,Female,White,No,MN,,Manager
